,FRT,CER,FRV,CIN,CUL,GAN,SIL,PES,EXT,MIN1,MIN2,CAR,PPR,AYG,LAC,MOL,PAN,FID,AZU,CHO,CAN,ALD,BNA,BAL,TAB,HIL,VES,CUE,MAD,PAP,REF,QU1,QU2,CAU,PLS,VID,CEM,MET,DEM,MAQ,MUE,MAN,ELE,AGU,CON,COM,REP,HOT,RES,TRA,POS,TEL,FIN,SEG,INM,ADM,ADP,EDU,SAL,ASO,DOM
MAN,0.00,0.02,0.01,0.02,0.12,0.02,0.01,0.04,0.02,0.05,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ELE,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.02,0.02,0.02,0.01,0.00,0.01,0.00,0.02,0.35,0.01,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00
AGU,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.11,0.00,0.00,0.00,0.01,0.04,0.00
COM,0.04,0.01,0.01,0.01,0.01,0.04,0.01,0.05,0.02,0.04,0.04,0.14,0.11,0.07,0.13,0.08,0.10,0.11,0.02,0.12,0.11,0.08,0.03,0.07,0.02,0.07,0.09,0.08,0.15,0.05,0.02,0.05,0.04,0.05,0.06,0.04,0.06,0.09,0.06,0.07,0.08,0.06,0.03,0.01,0.07,0.01,0.01,0.04,0.06,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.04,0.02,0.00
REP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
HOT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
RES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
TRA,0.04,0.05,0.03,0.04,0.04,0.06,0.04,0.02,0.08,0.04,0.04,0.01,0.02,0.03,0.02,0.00,0.01,0.01,0.04,0.02,0.01,0.05,0.01,0.04,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,0.02,0.01,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0.00,0.02,0.03,0.02,0.11,0.00,0.01,0.00,0.08,0.00,0.01,0.01,0.01,0.05,0.03,0.00,0.00,0.00,0.01,0.00
POS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
