region_sector,share_exporting_firms,usd_per_ton,sector,type,region
TKM_EEQ,0.9531014186271032,6611.780837750547,EEQ,manufacturing,TKM
TUR_EEQ,0.6730660503424514,4353.746126860197,EEQ,manufacturing,TUR
UZB_EEQ,0.0424939495663187,3721.0735580076775,EEQ,manufacturing,UZB
ARM_ELE,0.6083078565815215,198382.05486673416,ELE,manufacturing,ARM
AZE_ELE,0.1113737952264395,84107.86959898246,ELE,manufacturing,AZE
Africa_ELE,0.1572902491707181,61624.95735051894,ELE,manufacturing,Africa
America_ELE,0.1326357459108917,233167.71947374908,ELE,manufacturing,America
Asia_ELE,0.4198063424558029,144829.9297890707,ELE,manufacturing,Asia
CHN_ELE,0.6848422320360154,73512.58714429183,ELE,manufacturing,CHN
Europe_ELE,0.2404349047679931,106723.78080518586,ELE,manufacturing,Europe
GEO_ELE,0.3275985479829246,66281.66290075444,ELE,manufacturing,GEO
KAZ_ELE,0.3789647860744638,80094.47165689354,ELE,manufacturing,KAZ
KGZ_ELE,0.1007376231944324,73254.83354367688,ELE,manufacturing,KGZ
North America_ELE,0.3575699572045321,158539.1087656172,ELE,manufacturing,North America
Oceania_ELE,0.26031747628965,208447.7846123055,ELE,manufacturing,Oceania
RUS_ELE,0.360043435396044,415096.8219310649,ELE,manufacturing,RUS
South America_ELE,0.0154497311748875,60628.27921250308,ELE,manufacturing,South America
TJK_ELE,0.4672856331491997,559290.9935664654,ELE,manufacturing,TJK
TKM_ELE,0.9546619619682818,1532543.2193059684,ELE,manufacturing,TKM
TUR_ELE,0.3297187734565937,26599.03762326669,ELE,manufacturing,TUR
UZB_ELE,0.0892993626237651,113893.8383804342,ELE,manufacturing,UZB
ARM_ELY,0.2420560802575594,10544365156.25527,ELY,utility,ARM
AZE_ELY,0.0229411989934066,10544365156.25527,ELY,utility,AZE
Africa_ELY,0.0046826461729929,117196305.61934732,ELY,utility,Africa
America_ELY,9.430819435647124e-05,10544365156.25527,ELY,utility,America
Asia_ELY,0.0013773091757257,53824586876.65198,ELY,utility,Asia
CHN_ELY,0.002236786779336,10544365156.25527,ELY,utility,CHN
Europe_ELY,0.0040762700829515,9114900618.065172,ELY,utility,Europe
GEO_ELY,0.0958009963621837,10544365156.25527,ELY,utility,GEO
KAZ_ELY,0.0293748944198864,192130514.53360504,ELY,utility,KAZ
KGZ_ELY,0.1319876279985665,10544365156.25527,ELY,utility,KGZ
North America_ELY,0.002071337459299,17351727.7948587,ELY,utility,North America
Oceania_ELY,1.0107160382229028e-05,10544365156.25527,ELY,utility,Oceania
RUS_ELY,0.3005292878829845,10544365156.25527,ELY,utility,RUS
South America_ELY,0.000619420587245,24894.8666573979,ELY,utility,South America
TJK_ELY,0.0900190714384088,10544365156.25527,ELY,utility,TJK
TKM_ELY,0.2924626430254718,10544365156.25527,ELY,utility,TKM
TUR_ELY,0.0096074802728453,10544365156.25527,ELY,utility,TUR
UZB_ELY,0.057048623706538,10544365156.25527,ELY,utility,UZB
ARM_FMP,0.0523328302655537,2439.373271138816,FMP,manufacturing,ARM
AZE_FMP,0.0691311475771136,5275.696871265901,FMP,manufacturing,AZE
Africa_FMP,0.0288462102716405,2889.786280163116,FMP,manufacturing,Africa
America_FMP,0.0978883456658722,5536.2820176914365,FMP,manufacturing,America
Asia_FMP,0.0835036824450087,4969.274154922087,FMP,manufacturing,Asia
CHN_FMP,0.1395397335013943,3125.3213723606077,FMP,manufacturing,CHN
Europe_FMP,0.0686595818031617,5308.839290493462,FMP,manufacturing,Europe
GEO_FMP,0.2031609368446925,19270.297373873054,FMP,manufacturing,GEO
KAZ_FMP,0.0684638252485011,6781.857797992202,FMP,manufacturing,KAZ
KGZ_FMP,0.0958346540223052,3398.1160518248485,FMP,manufacturing,KGZ
North America_FMP,0.0422575609286804,8928.610827128094,FMP,manufacturing,North America
Oceania_FMP,0.0289428249553924,5568.251745912317,FMP,manufacturing,Oceania
RUS_FMP,0.1756157026532432,7109.5242820308085,FMP,manufacturing,RUS
South America_FMP,0.019963623629145,4212.267547137436,FMP,manufacturing,South America
TJK_FMP,0.9444769323816492,3024.200102682979,FMP,manufacturing,TJK
TKM_FMP,0.4951882733783432,4119.052241806385,FMP,manufacturing,TKM
TUR_FMP,0.2883957242632488,2877.2025654488057,FMP,manufacturing,TUR
UZB_FMP,0.0378038770107704,4819.122524573498,FMP,manufacturing,UZB
ARM_FRS,0.0066737021375023,723.9475405114887,FRS,agriculture,ARM
AZE_FRS,0.0096062185486717,348.06060868810835,FRS,agriculture,AZE
Africa_FRS,0.0704516926401641,463.6530676999329,FRS,agriculture,Africa
America_FRS,0.2402703654762277,3947.4064765936832,FRS,agriculture,America
Asia_FRS,0.0093669672872533,411.21624637136495,FRS,agriculture,Asia
CHN_FRS,0.0031622447636797,988.4472757258748,FRS,agriculture,CHN
Europe_FRS,0.0173650011341905,138.828470436884,FRS,agriculture,Europe
GEO_FRS,0.0311974671197638,179.3943437295055,FRS,agriculture,GEO
KAZ_FRS,0.0167900012549394,694.6245404244169,FRS,agriculture,KAZ
KGZ_FRS,0.0652448889097169,19343.145811527447,FRS,agriculture,KGZ
North America_FRS,0.0386488769515964,311.10794816457553,FRS,agriculture,North America
Oceania_FRS,0.4253614775683327,143.14377436950227,FRS,agriculture,Oceania
RUS_FRS,0.3306693606231324,93.27283338643667,FRS,agriculture,RUS
South America_FRS,0.0238045328533333,376.2408249803707,FRS,agriculture,South America
TJK_FRS,0.0140172276051292,180.92230652446264,FRS,agriculture,TJK
TKM_FRS,0.7887816176708513,3947.4064765936832,FRS,agriculture,TKM
TUR_FRS,0.0090493354149808,1210.3006514593094,FRS,agriculture,TUR
UZB_FRS,0.0101881331947166,37552.19738149925,FRS,agriculture,UZB
ARM_FSH,0.2357655174234588,4970.102222566053,FSH,agriculture,ARM
