,sector,supply_data,cutoff,coverage
550,BTN_Textiles and Wearing Apparel,USD,0,1
551,BTN_Wood and Paper,USD,0,1
552,"BTN_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
553,BTN_Metal Products,USD,0,1
554,BTN_Electrical and Machinery,USD,0,1
555,BTN_Transport Equipment,USD,0,1
556,BTN_Other Manufacturing,USD,0,1
557,BTN_Recycling,USD,0,1
558,"BTN_Electricity, Gas and Water",USD,0,1
559,BTN_Construction,USD,0,1
560,BTN_Maintenance and Repair,USD,0,1
561,BTN_Wholesale Trade,USD,0,1
562,BTN_Retail Trade,USD,0,1
563,BTN_Hotels and Restraurants,USD,0,1
564,BTN_Transport,USD,0,1
565,BTN_Post and Telecommunications,USD,0,1
566,BTN_Finacial Intermediation and Business Activities,USD,0,1
567,BTN_Public Administration,USD,0,1
568,"BTN_Education, Health and Other Services",USD,0,1
569,BTN_Private Households,USD,0,1
570,BTN_Others,USD,0,1
571,BTN_Re-export & Re-import,USD,0,1
572,BOL_Agriculture,USD,0,1
573,BOL_Fishing,USD,0,1
574,BOL_Mining and Quarrying,USD,0,1
575,BOL_Food & Beverages,USD,0,1
576,BOL_Textiles and Wearing Apparel,USD,0,1
577,BOL_Wood and Paper,USD,0,1
578,"BOL_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
579,BOL_Metal Products,USD,0,1
580,BOL_Electrical and Machinery,USD,0,1
581,BOL_Transport Equipment,USD,0,1
582,BOL_Other Manufacturing,USD,0,1
583,BOL_Recycling,USD,0,1
584,"BOL_Electricity, Gas and Water",USD,0,1
585,BOL_Construction,USD,0,1
586,BOL_Maintenance and Repair,USD,0,1
587,BOL_Wholesale Trade,USD,0,1
588,BOL_Retail Trade,USD,0,1
589,BOL_Hotels and Restraurants,USD,0,1
590,BOL_Transport,USD,0,1
591,BOL_Post and Telecommunications,USD,0,1
592,BOL_Finacial Intermediation and Business Activities,USD,0,1
593,BOL_Public Administration,USD,0,1
594,"BOL_Education, Health and Other Services",USD,0,1
595,BOL_Private Households,USD,0,1
596,BOL_Others,USD,0,1
597,BOL_Re-export & Re-import,USD,0,1
598,BIH_Agriculture,USD,0,1
599,BIH_Fishing,USD,0,1
600,BIH_Mining and Quarrying,USD,0,1
601,BIH_Food & Beverages,USD,0,1
602,BIH_Textiles and Wearing Apparel,USD,0,1
603,BIH_Wood and Paper,USD,0,1
604,"BIH_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
